ID,Kategorie,Podkategorie,Název Modelu,Číslo Modelu,Výkon Modelu,Sériové číslo,Rok výroby,Množství,Jednotky
,RAC,Vnitřní,Elite S2,AR70---CAAWKNEU,,,,,ks
,RAC,Venkovní,Elite S2,AR70---CAAWKXEU,,,,,ks
,RAC,Vnitřní,Avant S2 Black,AR70---C1ABNEU,,,,,ks
,RAC,Venkovní,Avant S2 Black,AR70---C1AWXEU,,,,,ks
,RAC,Vnitřní,Avant S2,AR70---C1AWNEU,,,,,ks
,RAC,Venkovní,Avant S2,AR70---C1AWXEU,,,,,ks
,RAC,Vnitřní,Wind-Free Comfort,AR60---C1AWNEU,,,,,ks
,RAC,Venkovní,Wind-Free Comfort,AR60---C1AWXEU,,,,,ks
,RAC,Vnitřní,Luzon S2,AR50---C1BHNEU,,,,,ks
,RAC,Venkovní,Luzon S2,AR50---C1BHXEU,,,,,ks
,RAC,Vnitřní,Wind-Free Avant,AR--TXAEAAWKNEU,,,,,ks
,RAC,Venkovní,Wind-Free Avant,AR--TXAEAAWKXEU,,,,,ks
,RAC,Vnitřní,Cebu,AR--TXFYAWKNEU,,,,,ks
,RAC,Venkovní,Cebu,AR--TXFYAWKXEU,,,,,ks
,RAC,Vnitřní,Wind-Free Pure,AR--AXKAAWKN,,,,,ks
,RAC,Venkovní,Wind-Free Pure,AR--AXKAAWXN,,,,,ks
,RAC,Vnitřní,AR35,AR--AXKAAWKN,,,,,ks
,RAC,Venkovní,AR35,AR--AXKAAWKX,,,,,ks
,FJM,Venkovní,AJ40,AJ040TXJ2EG,4,,,,ks
,FJM,Venkovní,AJ50,AJ050TXJ2EG,5,,,,ks
,FJM,Venkovní,AJ52,AJ052TXJ3EG,"5,2",,,,ks
,FJM,Venkovní,AJ68,AJ068TXJ3EG,"6,8",,,,ks
,FJM,Venkovní,AJ80,AJ080TXJ4EG,8,,,,ks
,FJM,Venkovní,AJ100,AJ100TXJ5EG,10,,,,ks
,RAC,Vnitřní,Elite S2,AR70F09CAAWKNEU,F09,,,,ks
,RAC,Venkovní,Elite S2,AR70F09CAAWKXEU,F09,,,,ks
,RAC,Vnitřní,Elite S2,AR70F12CAAWKNEU,F12,,,,ks
,RAC,Venkovní,Elite S2,AR70F12CAAWKXEU,F12,,,,ks
,,,,,,,,,ks